id,user_id,client_id,segmento,valor_capturado,created_at,updated_at,season_id,subcategories
f033bce6-4af0-41ac-90f4-f8b2e4b6275b,4f752ce4-b8f4-42a5-98a9-17a335304d6f,b81e5d71-f1b5-4a55-8d4b-d5e2accca894,especialidades,5000.00,2025-10-28 21:18:04.291457,2025-10-28 21:18:04.291457,3c6eadc5-6101-4ae8-ab72-ba0e73ab68ee,
f82a5ea2-299e-4006-a3f8-733181f31ac0,4f752ce4-b8f4-42a5-98a9-17a335304d6f,b81e5d71-f1b5-4a55-8d4b-d5e2accca894,especialidades,5000.00,2025-10-28 22:06:43.543646,2025-10-28 22:06:43.543646,3c6eadc5-6101-4ae8-ab72-ba0e73ab68ee,
96de997a-2916-42ee-b1ce-2a24b21b29dd,4f752ce4-b8f4-42a5-98a9-17a335304d6f,c0f6dbfb-4763-4434-9661-2663e9cccd7f,especialidades,4000.00,2025-10-28 22:10:05.573063,2025-10-28 22:10:05.573063,3c6eadc5-6101-4ae8-ab72-ba0e73ab68ee,
f7702775-5d5a-4d61-81c4-cd2ccd9a0bb2,4f752ce4-b8f4-42a5-98a9-17a335304d6f,e97ff37f-5150-42cf-99da-e763e907b015,especialidades,7500.00,2025-10-28 22:10:42.19644,2025-10-28 22:10:42.19644,3c6eadc5-6101-4ae8-ab72-ba0e73ab68ee,
7f9339b8-160e-4a21-b015-230bf1b9a667,4f752ce4-b8f4-42a5-98a9-17a335304d6f,e97ff37f-5150-42cf-99da-e763e907b015,fertilizantes,50000.00,2025-10-29 12:46:50.986386,2025-10-29 12:46:50.986386,8898f9cf-b34c-4918-acbd-0eb322ab00a4,
194e7204-e9f8-45b9-b842-fd2057dbe5ab,4f752ce4-b8f4-42a5-98a9-17a335304d6f,e97ff37f-5150-42cf-99da-e763e907b015,agroquimicos,4999.94,2025-10-29 13:09:22.332069,2025-10-29 13:09:22.332069,8898f9cf-b34c-4918-acbd-0eb322ab00a4,"""{\""Tratamento de semente\"":0,\""Dessecação\"":0,\""Inseticidas\"":0,\""Fungicidas\"":4999.94}"""
c425217c-56c0-43df-b328-3450a70988cc,4f752ce4-b8f4-42a5-98a9-17a335304d6f,e97ff37f-5150-42cf-99da-e763e907b015,agroquimicos,20000.00,2025-10-29 13:15:00.730744,2025-10-29 13:15:00.730744,8898f9cf-b34c-4918-acbd-0eb322ab00a4,"""{\""Tratamento de semente\"":0,\""Dessecação\"":0,\""Inseticidas\"":0,\""Fungicidas\"":20000}"""
1eb8649f-af5d-498d-9bb0-b8e94e43b679,4f752ce4-b8f4-42a5-98a9-17a335304d6f,e97ff37f-5150-42cf-99da-e763e907b015,agroquimicos,3000.00,2025-10-29 13:15:22.77754,2025-10-29 13:15:22.77754,8898f9cf-b34c-4918-acbd-0eb322ab00a4,"""{\""Tratamento de semente\"":0,\""Dessecação\"":0,\""Inseticidas\"":3000,\""Fungicidas\"":0}"""
4f51f0f9-6706-4a35-b913-b7977e608ba1,4f752ce4-b8f4-42a5-98a9-17a335304d6f,e97ff37f-5150-42cf-99da-e763e907b015,agroquimicos,16000.00,2025-10-29 13:16:15.844138,2025-10-29 21:24:39.331,8898f9cf-b34c-4918-acbd-0eb322ab00a4,"""{\""Tratamento de semente\"":10000,\""Dessecação\"":6000,\""Inseticidas\"":0,\""Fungicidas\"":0}"""
5c189060-815e-4f36-ba1b-6c346cf71bf6,4f752ce4-b8f4-42a5-98a9-17a335304d6f,c85733d6-36e2-45bb-8656-0473842ac362,sementes,3000.00,2025-10-29 21:59:01.228054,2025-10-29 21:59:01.228054,3c6eadc5-6101-4ae8-ab72-ba0e73ab68ee,
