id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
7bbd3f8d-8d56-4c1f-b005-bbb095dc4297,4f752ce4-b8f4-42a5-98a9-17a335304d6f,55aaa737-fd19-4e5e-a76c-cbdd43eb59c1,,145.00,,0.00,f,t,2025-10-08 02:11:40.166763,,f
53c146d8-94e0-4a24-a7b3-ab9f3d072352,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,a9c728c9-be1d-463e-a03e-008add9f0a71,,,,0.00,t,t,2025-10-09 14:03:47.506749,,f
79ef2e91-7dd8-42c4-9804-c41f4b858920,4f752ce4-b8f4-42a5-98a9-17a335304d6f,f8495217-4fb3-4a74-ac3c-4dbcc4f6c3c0,,,,0.00,f,t,2025-10-08 16:19:24.887093,,f
1a79fee4-c986-4173-98a4-8a7343929045,4f752ce4-b8f4-42a5-98a9-17a335304d6f,11bd1f37-c420-40ba-ab9c-1feeeaceeffb,,700.00,,0.00,f,t,2025-10-08 02:11:40.713837,,f
2f304727-1ec8-4c2c-a7c8-ddec36008621,4f752ce4-b8f4-42a5-98a9-17a335304d6f,10b6bca8-a6ba-40e0-8a20-9c8845ef2b80,,,,0.00,f,t,2025-10-08 17:02:34.049452,,f
12dbd18e-c7a6-491b-bf60-260a733e9060,4f752ce4-b8f4-42a5-98a9-17a335304d6f,090d8bff-83bd-4e41-a17c-c6b80807bc4d,,145.20,,0.00,t,t,2025-10-08 02:11:40.529109,,t
f6357a4c-e45f-4bfc-87cd-f1ae3f45a390,4f752ce4-b8f4-42a5-98a9-17a335304d6f,5ba0665d-9ea8-4e16-97b0-9fbdcd96914b,AGRIDESA S.A,100.00,[],0.00,f,t,2025-10-08 17:02:31.124413,,f
1f4fbb03-696d-4307-9301-da130f3b558d,4f752ce4-b8f4-42a5-98a9-17a335304d6f,4a6cffeb-e211-4514-9dbc-aecb7d5bf2ae,,1700.00,,0.00,f,t,2025-10-08 02:11:41.787945,,f
db3d6bde-6f24-4ff5-af32-1be5ec025669,4f752ce4-b8f4-42a5-98a9-17a335304d6f,d824eb98-7b81-4991-aa82-a546959678c3,,2900.00,,0.00,t,t,2025-10-08 02:11:42.506572,,t
aae1cd79-2c05-4220-b91a-e6ecffdaa79e,4f752ce4-b8f4-42a5-98a9-17a335304d6f,f3da5477-00fa-451a-98da-6a9733c03301,,2020.00,,0.00,t,t,2025-10-08 02:11:41.968343,,t
